DIA;MES;ANO;DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
28;10;2023;USA;AXM;110;108083;457256555
28;10;2023;PAN;BOG;22;18547;78465104
28;10;2023;DEU;BOG;576;4476;18142684
28;10;2023;DEU;BOG;84;525;2221070
28;10;2023;DEU;BOG;30;114;482290
28;10;2023;DEU;BOG;90;314;1326296
28;10;2023;DEU;BOG;5;31;109880
28;10;2023;DEU;BOG;144;768;3249108
28;10;2023;DEU;BOG;8;37;156533
28;10;2023;DEU;BOG;32;33556;142239359
28;10;2023;DEU;BOG;20;3280;13876401
28;10;2023;DEU;BOG;50;7741;32750844
28;10;2023;DEU;BOG;18;6624;28023561
28;10;2023;DEU;BOG;25;6200;26229781
28;10;2023;DEU;BOG;30;4920;20814601
28;10;2023;DEU;BOG;35;6860;29021985
28;10;2023;DEU;BOG;20;2560;10830362
28;10;2023;DEU;BOG;1031;107926;456245758
28;10;2023;DEU;BOG;2;11610;48933105
28;10;2023;DEU;BOG;8960;1613;6823108
28;10;2023;DEU;BOG;140;200772;846571857
28;10;2023;DEU;BOG;4900;882;3715425
28;10;2023;DEU;BOG;14400;2592;10918800
28;10;2023;DEU;BOG;10555;1892;8006464
28;10;2023;DEU;BOG;37203;6639;28097488
28;10;2023;DEU;BOG;58832;15774;66022338
28;10;2023;DEU;BOG;2825;452;1910236
28;10;2023;DEU;BOG;23620;4263;17894160
28;10;2023;DEU;BOG;9;18;76538
28;10;2023;DEU;BOG;50;144;614427
28;10;2023;DEU;BOG;78;195;829158
28;10;2023;DEU;BOG;20;75;318907
28;10;2023;DEU;BOG;271;1030;4381779
28;10;2023;DEU;BOG;99;367;1561367
28;10;2023;DEU;BOG;81;277;1177410
28;10;2023;DEU;BOG;196;1008;4286107
28;10;2023;DEU;BOG;1771;7254;30844661
28;10;2023;DEU;BOG;29;164;697343
28;10;2023;DEU;BOG;32;102;516629
28;10;2023;DEU;BOG;140;3177;13465131
28;10;2023;DEU;BOG;30;45145;190572836
28;10;2023;DEU;BOG;285;98500;417526725
28;10;2023;DEU;BOG;0;61500;260689275
28;10;2023;DEU;BOG;106196;28408;119702135
28;10;2023;DEU;BOG;10;620;2554414
28;10;2023;DEU;BOG;270;9614;39617207
28;10;2023;DEU;BOG;10;354;1456810
28;10;2023;DEU;BOG;1;61;250534
28;10;2023;DEU;BOG;32;150;637350
28;10;2023;DEU;BOG;3;100;494474
28;10;2023;DEU;BOG;1;3710;16274509
28;10;2023;DEU;BOG;31;2410;10154151
28;10;2023;DEU;BOG;4;328;1381592
28;10;2023;DEU;BOG;27;3172;13366797
28;10;2023;DEU;BOG;8;3407;13811566
28;10;2023;DEU;BOG;24;1520;6377093
28;10;2023;DEU;BOG;2;100;405376
28;10;2023;DEU;BOG;2;5500;22662503
28;10;2023;DEU;BOG;37600;6810;28848854
28;10;2023;DEU;BOG;11520;2074;8735100
28;10;2023;DEU;BOG;63680;11510;48459926
28;10;2023;DEU;BOG;4400;836;3552164
28;10;2023;DEU;BOG;8800;1672;7110328
28;10;2023;DEU;BOG;5476;931;3921500
28;10;2023;DEU;BOG;16438;3464;14591058
28;10;2023;DEU;BOG;2802;3966;16778345
28;10;2023;DEU;BOG;1;2402;9948709
28;10;2023;DEU;BOG;1;362;1499115
28;10;2023;DEU;BOG;1;2682;11107108
28;10;2023;DEU;BOG;50;434;1846499
28;10;2023;DEU;BOG;300;684;2908926
28;10;2023;DEU;BOG;24480;4892;20786108
28;10;2023;DEU;BOG;2250;672;2842970
28;10;2023;DEU;BOG;26256;28492;100021960
28;10;2023;DEU;BOG;23220;3200;13508872
28;10;2023;DEU;BOG;70780;10801;45621038
28;10;2023;DEU;BOG;1800;924;3918817
28;10;2023;DEU;BOG;1550;10103;42949605
28;10;2023;DEU;BOG;0;55000;222956800
28;10;2023;DEU;BOG;2714;3215;14101533
28;10;2023;DEU;BOG;105;9440;39906562
28;10;2023;DEU;BOG;7100;1078;5383575
28;10;2023;DEU;BOG;41367;7450;31383378
28;10;2023;DEU;BOG;1;640;2717703
28;10;2023;DEU;BOG;246;2082;8649214
28;10;2023;DEU;BOG;7537;41130;174343900
28;10;2023;DEU;BOG;1300;7800;33063030
28;10;2023;DEU;BOG;2;1;4239
28;10;2023;DEU;BOG;180;477;2021931
28;10;2023;DEU;BOG;3420;18184;77078401
28;10;2023;DEU;BOG;4800;624;2639901
28;10;2023;DEU;BOG;20;85;360152
28;10;2023;DEU;BOG;25;113;481099
