DESTINO;ORIGEM;CANTIDAD;FOBDOL;FOBPES
USA;AXM;84;111249;440089316
PAN;AXM;10;8120;32122972
DEU;BOG;294;1838;7245318
DEU;BOG;195;679;2678303
DEU;BOG;360;1918;7562732
DEU;BOG;60;278;1094191
DEU;BOG;26;131;523725
DEU;BOG;299;1511;6042428
DEU;BOG;12;97;387456
DEU;BOG;3;21;85648
DEU;BOG;25453;13980;55900529
DEU;BOG;8320;21815;85791181
DEU;BOG;2540;1495;5868005
DEU;BOG;40;2;7891
DEU;BOG;36;15;58887
DEU;BOG;31;1500;5998815
DEU;BOG;3700;592;2324056
DEU;BOG;32840;5569;21866888
DEU;BOG;69;110274;436560253
DEU;BOG;1400;252;991013
DEU;BOG;25600;4411;17347441
DEU;BOG;31;2502;9965841
DEU;BOG;10600;1908;7629157
DEU;BOG;81040;14528;57782797
DEU;BOG;50136;13866;55148535
DEU;BOG;2310;372;1496031
DEU;BOG;11830;2096;8432246
DEU;BOG;144;560;2234148
DEU;BOG;1374;6064;24190636
DEU;BOG;405;6055;24119328
DEU;BOG;560;19389;77216692
DEU;BOG;0;22500;89621313
DEU;BOG;11860;7616;30073660
DEU;BOG;216;11475;45403821
DEU;BOG;277;10214;40416088
DEU;BOG;771;14116;55855088
DEU;BOG;47;2640;10444699
DEU;BOG;110;3425;13553130
DEU;BOG;147;33328;133293643
DEU;BOG;440;684;2734061
DEU;BOG;1780;12056;48204037
DEU;BOG;288;214;856878
DEU;BOG;54155;19841;78605491
DEU;BOG;7;383;1499610
DEU;BOG;1;50;195772
DEU;BOG;12420;2236;8845733
DEU;BOG;525;5565;22162612
DEU;BOG;172;1486;5980381
DEU;BOG;5600;1064;4119223
DEU;BOG;8400;1592;6163348
DEU;BOG;5680;966;3860961
DEU;BOG;17160;3256;13019149
DEU;BOG;75940;13993;54935836
DEU;BOG;13410;2426;9574007
DEU;BOG;99968;18204;73079992
DEU;BOG;17163;18415;72847609
DEU;BOG;19280;2668;10536126
DEU;BOG;51040;7528;29616256
DEU;BOG;3660;659;2634218
DEU;BOG;20020;5137;20540346
DEU;BOG;1800;917;3628349
DEU;BOG;84;135475;548026180
DEU;BOG;7100;2767;10860800
DEU;BOG;2160;9490;36269726
DEU;BOG;6;22;88718
DEU;BOG;9400;42159;163199624
DEU;BOG;3200;800;3192704
DEU;BOG;21;112;449191
DEU;BOG;108;470;1887292
DEU;BOG;38;110;437837
DEU;BOG;50;438;1760154
DEU;BOG;35;181;726592
DEU;BOG;32;207;833086
DEU;BOG;388;2683;10766905
DEU;BOG;385;2231;8923975
DEU;BOG;29;243;971638
DEU;BOG;37;164855;648305433
DEU;BOG;98;11632;46526153
DEU;BOG;82;4363;17453127
DEU;BOG;465;25101;98710762
DEU;BOG;2;5;19224
DEU;BOG;8460;1354;5354679
DEU;BOG;87120;16499;65516123
DEU;BOG;4080;555;2195527
DEU;BOG;6800;925;3659212
DEU;BOG;15300;3825;15265116
DEU;BOG;24140;6035;24084961
DEU;BOG;4200;672;2658351
DEU;BOG;48160;7706;30482429
DEU;BOG;17700;4386;17504560
DEU;BOG;2400;707;2738393
DEU;BOG;985;6163;24194521
DEU;BOG;150;679;2628327
DEU;BOG;22900;3294;12929203
DEU;BOG;2898;2648878;10476910283
DEU;BOG;307;25974;103458338
DEU;BOG;1970685;11658;46612950
DEU;BOG;322;10299;41024214
DEU;BOG;675500;3152;12396192
ARM;BOG;2000;340;1367891
ARM;BOG;67;158;631365
ARM;BOG;1214;3656;14617753
ARM;BOG;147;323;1290319
ARM;BOG;400;74;294705
ARM;BOG;3550;607;2428776
ARM;BOG;9440;2926;11678911
ARM;BOG;800;140;557550
ARM;BOG;4190;770;3093280
ARM;BOG;35450;5939;23789197
ARM;BOG;1885;401;1611698
ARM;BOG;250;25;98919
ARM;BOG;350;63;251906
ARM;BOG;6050;992;3969911
ARM;BOG;4000;220;876293
ABW;BOG;13972;4318;17227122
ABW;BOG;3425;911;3603609
ABW;BOG;1548;435;1739752
ABW;BOG;258;40;158141
ABW;BOG;3502;587;2332124
ABW;BOG;516;119;474463
ABW;BOG;18060;4569;18270552
ABW;BOG;289;2769;11071194
ABW;BOG;130;1067;4221834
ABW;BOG;80;86;344548
ABW;BOG;70;206;829666
ABW;BOG;90;2271;8952728
ABW;BOG;54;1218;4803399
ABW;BOG;159;4085;16108894
ABW;BOG;58;1749;6894506
ABW;BOG;337;9732;38374751
ABW;BOG;148;2788;10994469
ABW;BOG;2325;744;2925847
ABW;BOG;1296;569;2237250
ABW;BOG;5380;2389;9553240
ABW;BOG;2018;597;2388270
ABW;BOG;1345;448;1791213
ABW;BOG;336;119;477662
ABW;BOG;8743;2258;9027836
ABW;BOG;0;35;139410
ABW;BOG;32;358;1369823
ABW;BOG;13;93;355451
ABW;BOG;680;190;749964
ABW;BOG;1040;273;1075659
ABW;BOG;710;213;839865
ABW;BOG;370;358;1412590
ABW;BOG;1718;1216;4793423
ABW;BOG;198;2403;9475022
ABW;BOG;84;183;722070
ABW;BOG;204;444;1732284
ABW;BOG;188;717;2860507
ABW;BOG;79;416;1660850
ABW;BOG;10;54;214638
ABW;BOG;1571;7530;30041391
ABW;BOG;30;61;245200
ABW;BOG;447;345413;1356311290
BIH;BOG;1600;272;1087976
BIH;BOG;32960;9098;36378444
BIH;BOG;9900;1188;4750230
AIA;BOG;2;1481;5734430
ATG;BOG;259;17825;70528456
ATG;BOG;396;10396;41136218
ATG;BOG;210;3873;15323344
ATG;BOG;276;9199;36399027
SAU;BOG;11;3044;12044377
SAU;BOG;5500;860;3367191
SAU;BOG;30001;24099;95375675
SAU;BOG;319;2526;9920736
SAU;BOG;2088;1421;5684310
SAU;BOG;23307;18140;72069744
SAU;BOG;2205;1377;5392645
SAU;BOG;4;11208;44192140
SAU;BOG;53;68634;271507868
SAU;BOG;3750;1395;5579874
