DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
USA;AXM;95;104645;422470536
PAN;AXM;12;12125;48952665
DEU;BOG;480;3000;12111570
DEU;BOG;90;634;2561597
DEU;BOG;60;228;920479
DEU;BOG;270;940;3796977
DEU;BOG;1204;6903;27612298
DEU;BOG;64;296;1195008
DEU;BOG;32;9256;36845082
DEU;BOG;9;5175;20599967
DEU;BOG;16;4560;18151855
DEU;BOG;1380;1094;4347840
DEU;BOG;28995;15999;65473597
DEU;BOG;50;4930;20294789
DEU;BOG;245;54726;225284504
DEU;BOG;20;6256;25753387
DEU;BOG;100;7780;32027070
DEU;BOG;1088;157774;636965634
DEU;BOG;1;2526;10080297
DEU;BOG;27;60;247063
DEU;BOG;1300;200;811388
DEU;BOG;38160;6102;24935734
DEU;BOG;62;99872;405667866
DEU;BOG;5600;1008;4098316
DEU;BOG;12480;2246;9133391
DEU;BOG;13;1484;5883801
DEU;BOG;2560;461;1870917
DEU;BOG;44787;13918;56397252
DEU;BOG;1800;297;1181121
DEU;BOG;10080;1808;7210408
DEU;BOG;16;50;199764
DEU;BOG;38;104;412211
DEU;BOG;82;320;1268342
DEU;BOG;24;88;348794
DEU;BOG;120;583;2310761
DEU;BOG;1198;5380;21324403
DEU;BOG;8;28;112962
DEU;BOG;2;287;1183314
DEU;BOG;986;88155;362897703
DEU;BOG;6;6874;28296781
DEU;BOG;5;8753;36012709
DEU;BOG;19660;6549;26330876
DEU;BOG;3;2238;9052867
DEU;BOG;4;450;1787798
DEU;BOG;38;7457;30514581
DEU;BOG;21600;2943;11881046
DEU;BOG;58200;8776;35547304
DEU;BOG;560;4922;20140648
DEU;BOG;810;3487;13914183
DEU;BOG;6000;1140;4648282
DEU;BOG;14400;2736;11155876
DEU;BOG;0;27;106493
DEU;BOG;5;21;85186
DEU;BOG;8;39;153359
DEU;BOG;3;23;90274
DEU;BOG;1;8;31960
DEU;BOG;2;2;6837
DEU;BOG;29;5556;22086196
DEU;BOG;0;2;8586
DEU;BOG;145;725;2941282
DEU;BOG;101;6315;25102216
DEU;BOG;24320;4717;19232469
DEU;BOG;3231;4972;19773047
DEU;BOG;58360;10577;43436054
DEU;BOG;10530;1895;7693329
DEU;BOG;79320;14443;57579527
DEU;BOG;2050;369;1467454
DEU;BOG;11100;2781;11058001
DEU;BOG;2250;1202;4918981
DEU;BOG;510;770;3062564
DEU;BOG;978;5514;22482189
DEU;BOG;300;1918;7899003
DEU;BOG;11;113982;453086761
DEU;BOG;1056;6336;26068141
DEU;BOG;1836;9949;40708065
DEU;BOG;200;1200;4937148
DEU;BOG;1224;6357;26154542
DEU;BOG;12;47;191233
DEU;BOG;2139;12960;52717346
DEU;BOG;597;1622;6579112
DEU;BOG;16172;96475;392943488
DEU;BOG;6400;832;3332210
DEU;BOG;48;291;1154192
DEU;BOG;12;40;156561
DEU;BOG;280;2114;8378987
DEU;BOG;118;868;3441489
DEU;BOG;25;129;511301
